run_id,kind,n_reviews,wid,realized,belief,tstar,theta_tech,theta_grid,theta_ccs,scrap_rate,ccoal_price,ng_price,scrap_price,ccoal,ng,status,pv_cost_B,lcop_pv,slack_Mt,import_Mt,ccs_Mt,committed_B,stranded_B,str_conv_B,str_h2dri_B,str_h2supply_B,str_ccs_B,str_scrapchain_B,str_othchain_B,int_achieved,solve_s
chk2040_2030_7,chk2040,3,2030_7,2030,2030,2040,0.5,0.75,0.75,0.06,400,25,450,abundant,scarce,solved,2115.6338588383505,600.3613252841654,0.0,0.0,362.0975066056086,533.6005255653439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.15
settle_n3_2030_7,settle_n3,3,2030_7,2030,2030,2051,0.5,0.75,0.75,0.06,400,25,450,abundant,scarce,solved,2115.633858838351,600.3613252841656,0.0,0.0,362.0975066056093,1329.33104896322,115.84279172178448,30.24233296296803,22.546591515683875,63.053867243132586,0.0,0.0,0.0,1.8000000000000007,0.43
final_2030_7,final,4,2030_7,2030,2030,2045,0.5,0.75,0.75,0.06,400,25,450,abundant,scarce,solved,2115.63385883835,600.3613252841652,0.0,0.0,362.0975066056083,925.0910746588202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000003,0.53
settle_n4_2030_7,settle_n4,4,2030_7,2030,2030,2051,0.5,0.75,0.75,0.06,400,25,450,abundant,scarce,solved,2115.6338588383587,600.3613252841677,0.0,0.0,362.09750660560854,1329.3310489632206,115.84279172178232,30.242332962966604,22.546591515683247,63.0538672431324,6.795836824486817e-14,0.0,0.0,1.8,0.85
pf_2030_5,pf,,2030_5,2030,2030,2025,0.25,0.25,0.25,0.06,250,25,250,abundant,abundant,solved,1954.239333756354,554.5617978437042,0.0,0.0,621.4982478098676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.81
norec_2030_5,norec,0,2030_5,2030,2030,2051,0.25,0.25,0.25,0.06,250,25,250,abundant,abundant,solved,1973.7741821118461,560.1052747543866,0.0,0.0,683.1962611383492,1319.130272415053,56.895644111632464,48.302962299113936,0.0,8.592681812518528,0.0,0.0,0.0,1.8000000000000014,0.9
chk2030_2030_5,chk2030,1,2030_5,2030,2030,2030,0.25,0.25,0.25,0.06,250,25,250,abundant,abundant,solved,1954.2393337563542,554.5617978437043,0.0,0.0,621.4982478098681,0.9715350036799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999994,0.97
settle_n1_2030_5,settle_n1,1,2030_5,2030,2030,2051,0.25,0.25,0.25,0.06,250,25,250,abundant,abundant,solved,1954.2393337563858,554.5617978437132,0.0,0.0,621.4982478098675,1446.5655933770593,133.53472513354086,34.55498584342301,23.6713077707872,75.30843151933054,9.257811136821892e-14,0.0,0.0,1.8000000000000005,0.63
chk2035_2030_5,chk2035,2,2030_5,2030,2030,2035,0.25,0.25,0.25,0.06,250,25,250,abundant,abundant,solved,1954.2393337563844,554.5617978437128,0.0,0.0,621.4982478098686,191.15901289086423,12.468599181630102,12.468599181630102,0.0,0.0,0.0,0.0,0.0,1.7999999999999994,0.72
settle_n2_2030_5,settle_n2,2,2030_5,2030,2030,2051,0.25,0.25,0.25,0.06,250,25,250,abundant,abundant,solved,1954.2393337563842,554.5617978437128,0.0,0.0,621.4982478098735,1446.5655933770593,133.53472513353816,34.55498584342202,23.6713077707858,75.30843151933031,3.8574213070091155e-14,0.0,0.0,1.8000000000000003,1.23
chk2040_2030_5,chk2040,3,2030_5,2030,2030,2040,0.25,0.25,0.25,0.06,250,25,250,abundant,abundant,solved,1954.2393337563844,554.5617978437128,0.0,0.0,621.4982478098711,569.6352048544095,12.468599181630788,12.468599181630788,0.0,0.0,0.0,0.0,0.0,1.8,0.82
settle_n3_2030_5,settle_n3,3,2030_5,2030,2030,2051,0.25,0.25,0.25,0.06,250,25,250,abundant,abundant,solved,1954.2393337563879,554.5617978437139,0.0,0.0,621.4982478098723,1446.5655933770595,133.5347251335384,34.5549858434227,23.671307770785468,75.3084315193301,1.3423826148391482e-13,0.0,0.0,1.7999999999999998,1.05
final_2030_5,final,4,2030_5,2030,2030,2045,0.25,0.25,0.25,0.06,250,25,250,abundant,abundant,solved,1954.2393337563842,554.5617978437128,0.0,0.0,621.4982478098716,1011.1043555791658,12.46859918163101,12.468599181630788,0.0,0.0,2.206444987609175e-13,0.0,0.0,1.8000000000000005,0.7
settle_n4_2030_5,settle_n4,4,2030_5,2030,2030,2051,0.25,0.25,0.25,0.06,250,25,250,abundant,abundant,solved,1954.2393337563842,554.5617978437128,0.0,0.0,621.4982478098688,1446.5655933770531,133.53472513353708,34.55498584342218,23.671307770784843,75.30843151932983,2.206444987609175e-13,0.0,0.0,1.7999999999999998,0.76
pf_2030_2,pf,,2030_2,2030,2030,2025,0.0,0.75,0.5,0.04,400,15,350,scarce,abundant,solved,2119.483930412261,601.4538744806606,0.0,0.0,791.2539779349913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000007,3.07
norec_2030_2,norec,0,2030_2,2030,2030,2051,0.0,0.75,0.5,0.04,400,15,350,scarce,abundant,solved,2142.9713431215637,608.1189853469593,0.0,0.0,1347.2428708714024,1395.9256889259318,125.39744883760848,62.519903535398925,17.219900043856548,43.34094777012558,0.0,2.3166974882274225,0.0,1.7999999999999996,1.05
chk2030_2030_2,chk2030,1,2030_2,2030,2030,2030,0.0,0.75,0.5,0.04,400,15,350,scarce,abundant,solved,2119.529879201358,601.4669135402324,0.0,0.0,791.2539779349889,0.9715350036799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000012,0.83
settle_n1_2030_2,settle_n1,1,2030_2,2030,2030,2051,0.0,0.75,0.5,0.04,400,15,350,scarce,abundant,solved,2119.529879201381,601.4669135402389,0.0,0.0,791.2539779349869,1473.283891743706,124.93068058595193,28.04270246117885,18.89129367300191,77.99668445177112,5.36560376896585e-14,0.0,0.0,1.8000000000000014,0.7
chk2035_2030_2,chk2035,2,2030_2,2030,2030,2035,0.0,0.75,0.5,0.04,400,15,350,scarce,abundant,solved,2119.5298792013805,601.4669135402387,0.0,0.0,791.2539779349856,172.21728411402316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000003,1.2
settle_n2_2030_2,settle_n2,2,2030_2,2030,2030,2051,0.0,0.75,0.5,0.04,400,15,350,scarce,abundant,solved,2119.52987920138,601.4669135402387,0.0,0.0,791.2539779349835,1473.2838917436995,124.93068058595195,28.04270246117854,18.8912936730011,77.99668445177227,4.4187325156189456e-14,0.0,0.0,1.8000000000000003,1.1
chk2040_2030_2,chk2040,3,2030_2,2030,2030,2040,0.0,0.75,0.5,0.04,400,15,350,scarce,abundant,solved,2119.52987920138,601.4669135402386,0.0,0.0,791.2539779349427,584.6355011313963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000005,0.92
settle_n3_2030_2,settle_n3,3,2030_2,2030,2030,2051,0.0,0.75,0.5,0.04,400,15,350,scarce,abundant,solved,2119.529879201391,601.4669135402416,0.0,0.0,791.2539779350319,1473.2838917436975,124.93068058595232,28.0427024611788,18.891293673001538,77.99668445177198,0.0,0.0,0.0,1.7999999999999994,0.45
final_2030_2,final,4,2030_2,2030,2030,2045,0.0,0.75,0.5,0.04,400,15,350,scarce,abundant,solved,2119.5298792013805,601.4669135402387,0.0,0.0,791.2539779349934,1066.2521404655947,18.891293673004114,0.0,18.891293673003847,2.6306192951285513e-13,0.0,0.0,0.0,1.7999999999999994,0.7
settle_n4_2030_2,settle_n4,4,2030_2,2030,2030,2051,0.0,0.75,0.5,0.04,400,15,350,scarce,abundant,solved,2119.5298792013937,601.4669135402424,0.0,0.0,791.2539779349665,1473.2838917437045,124.93068058593833,28.042702461182273,18.891293672993676,77.99668445176216,2.2409286329209808e-13,0.0,0.0,1.8000000000000003,1.01
pf_2030_4,pf,,2030_4,2030,2030,2025,1.0,0.75,0.25,0.04,400,15,350,abundant,scarce,solved,1994.3991543291938,565.958100186645,0.0,0.0,522.887096247012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.94
norec_2030_4,norec,0,2030_4,2030,2030,2051,1.0,0.75,0.25,0.04,400,15,350,abundant,scarce,solved,2059.5427921913415,584.4441537149361,0.0,0.0,703.9854456494019,1079.8597297641552,167.03492499608396,152.3193063809856,0.0,0.0,12.398921126870956,2.316697488227421,0.0,1.8000000000000005,0.92
chk2030_2030_4,chk2030,1,2030_4,2030,2030,2030,1.0,0.75,0.25,0.04,400,15,350,abundant,scarce,solved,1994.4451031182914,565.971139246217,0.0,0.0,522.887096247012,0.9715350036799999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.31
settle_n1_2030_4,settle_n1,1,2030_4,2030,2030,2051,1.0,0.75,0.25,0.04,400,15,350,abundant,scarce,solved,1994.4451031183166,565.9711392462241,0.0,0.0,522.88709624701,1253.7625259234094,82.41590037739597,20.066677308384083,28.544777436345534,33.80444563266629,6.699448090314354e-14,0.0,0.0,1.8,0.93
chk2035_2030_4,chk2035,2,2030_4,2030,2030,2035,1.0,0.75,0.25,0.04,400,15,350,abundant,scarce,solved,1994.4451031183155,565.9711392462237,0.0,0.0,522.8870962470121,151.91412815320456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7999999999999996,0.53
settle_n2_2030_4,settle_n2,2,2030_4,2030,2030,2051,1.0,0.75,0.25,0.04,400,15,350,abundant,scarce,solved,1994.445103118316,565.9711392462239,0.0,0.0,522.88709624701,1253.7625259234032,82.41590037739654,20.06667730838777,28.544777436343463,33.80444563266525,6.262903049954436e-14,0.0,0.0,1.8000000000000007,0.82
chk2040_2030_4,chk2040,3,2030_4,2030,2030,2040,1.0,0.75,0.25,0.04,400,15,350,abundant,scarce,solved,1994.4451031183157,565.9711392462239,0.0,0.0,522.8870962470122,478.26404857309967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.36
settle_n3_2030_4,settle_n3,3,2030_4,2030,2030,2051,1.0,0.75,0.25,0.04,400,15,350,abundant,scarce,solved,1994.4451031183173,565.9711392462243,0.0,0.0,522.8870962470146,1253.7625259234062,82.41590037739641,20.06667730838483,28.544777436345527,33.80444563266606,0.0,0.0,0.0,1.8000000000000012,1.06
